一级目录,英文,二级目录,英文,三级目录,英文,四级目录,英文,五级目录,英文
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,逻辑运算,Logical,条件测试,Test,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,逻辑运算,Logical,等于,Equal To,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,逻辑运算,Logical,组合与,Combinatorial And,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,逻辑运算,Logical,组合异或,Combinatorial XOr,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,逻辑运算,Logical,组合或,Combinatorial Or,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,Abs,Abs,,,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,Exp,Exp,,,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,Exp10,Exp10,,,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,Exp2,Exp2,,,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,Ln,Ln,,,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,Log10,Log10,,,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,Log2,Log2,,,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,上舍入,Round Up,,,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,下舍入,Round Down,,,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,乘,Times,,,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,减,Minus,,,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,加,Plus,,,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,取反,Negate,,,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,幂,Power,,,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,平方,Square,,,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,平方根,Square Root,,,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,求模,Mod,,,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,转为整型,Int,,,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,转为浮点型,Float,,,,
Spatial Analyst工具,Spatial Analyst Tools,数学分析,Math,除,Divide,,,,
Spatial Analyst工具,Spatial Analyst Tools,条件分析,Conditional,条件函数,Con,,,,
Spatial Analyst工具,Spatial Analyst Tools,条件分析,Conditional,设为空函数,Set Null,,,,
Spatial Analyst工具,Spatial Analyst Tools,条件分析,Conditional,选取函数,Pick,,,,
Spatial Analyst工具,Spatial Analyst Tools,栅格创建,Raster Creation,创建常量栅格,Create Constant Raster,,,,
Spatial Analyst工具,Spatial Analyst Tools,栅格创建,Raster Creation,创建正态栅格,Create Normal Raster,,,,
Spatial Analyst工具,Spatial Analyst Tools,栅格创建,Raster Creation,创建随机栅格,Create Random Raster,,,,
Spatial Analyst工具,Spatial Analyst Tools,栅格综合,Generalization,Nibble,Nibble,,,,
Spatial Analyst工具,Spatial Analyst Tools,栅格综合,Generalization,众数滤波,Majority Filter,,,,
Spatial Analyst工具,Spatial Analyst Tools,栅格综合,Generalization,区域合并,Region Group,,,,
Spatial Analyst工具,Spatial Analyst Tools,栅格综合,Generalization,收缩,Shrink,,,,
Spatial Analyst工具,Spatial Analyst Tools,栅格综合,Generalization,散度,Expand,,,,
Spatial Analyst工具,Spatial Analyst Tools,栅格综合,Generalization,细化,Thin,,,,
Spatial Analyst工具,Spatial Analyst Tools,栅格综合,Generalization,聚合,Aggregate,,,,
Spatial Analyst工具,Spatial Analyst Tools,栅格综合,Generalization,边界清理,Boundary Clean,,,,
Spatial Analyst工具,Spatial Analyst Tools,水文分析,Hydrology,分水岭,Watershed,,,,
Spatial Analyst工具,Spatial Analyst Tools,水文分析,Hydrology,填洼,Fill,,,,
Spatial Analyst工具,Spatial Analyst Tools,水文分析,Hydrology,捕捉倾泻点,Snap Pour Point,,,,
Spatial Analyst工具,Spatial Analyst Tools,水文分析,Hydrology,栅格河网矢量化,Stream to Feature,,,,
Spatial Analyst工具,Spatial Analyst Tools,水文分析,Hydrology,水流长度,Flow Length,,,,
Spatial Analyst工具,Spatial Analyst Tools,水文分析,Hydrology,汇,Sink,,,,
Spatial Analyst工具,Spatial Analyst Tools,水文分析,Hydrology,河流链接,Stream Link,,,,
Spatial Analyst工具,Spatial Analyst Tools,水文分析,Hydrology,河网分级,Stream Order,,,,
Spatial Analyst工具,Spatial Analyst Tools,水文分析,Hydrology,流向,Flow Direction,,,,
Spatial Analyst工具,Spatial Analyst Tools,水文分析,Hydrology,流量,Flow Accumulation,,,,
Spatial Analyst工具,Spatial Analyst Tools,水文分析,Hydrology,盆域分析,Basin,,,,
Spatial Analyst工具,Spatial Analyst Tools,表面,Surface,可见性,Visibility,,,,
Spatial Analyst工具,Spatial Analyst Tools,表面,Surface,视域2,Viewshed 2,,,,
Spatial Analyst工具,Spatial Analyst Tools,表面分析,Surface,含障碍的等值线,Contour with Barriers,,,,
Spatial Analyst工具,Spatial Analyst Tools,表面分析,Surface,坡向,Aspect,,,,
Spatial Analyst工具,Spatial Analyst Tools,表面分析,Surface,坡度,Slope,,,,
Spatial Analyst工具,Spatial Analyst Tools,表面分析,Surface,填挖方,Cut Fill,,,,
Spatial Analyst工具,Spatial Analyst Tools,表面分析,Surface,山体阴影,Hillshade,,,,
Spatial Analyst工具,Spatial Analyst Tools,表面分析,Surface,曲率,Curvature,,,,
Spatial Analyst工具,Spatial Analyst Tools,表面分析,Surface,等值线,Contour,,,,
Spatial Analyst工具,Spatial Analyst Tools,表面分析,Surface,等值线序列,Contour List,,,,
Spatial Analyst工具,Spatial Analyst Tools,表面分析,Surface,视域,Viewshed,,,,
Spatial Analyst工具,Spatial Analyst Tools,表面分析,Surface,视点分析,Observer Points,,,,
Spatial Analyst工具,Spatial Analyst Tools,距离分析,Distance,廊道分析,Corridor,,,,
Spatial Analyst工具,Spatial Analyst Tools,距离分析,Distance,成本分配,Cost Allocation,,,,
Spatial Analyst工具,Spatial Analyst Tools,距离分析,Distance,成本回溯链接,Cost Back Link,,,,
Spatial Analyst工具,Spatial Analyst Tools,距离分析,Distance,成本距离,Cost Distance,,,,
Spatial Analyst工具,Spatial Analyst Tools,距离分析,Distance,成本路径,Cost Path,,,,
Spatial Analyst工具,Spatial Analyst Tools,距离分析,Distance,欧式分配,Euclidean Allocation,,,,
Spatial Analyst工具,Spatial Analyst Tools,距离分析,Distance,欧式方向,Euclidean Direction,,,,
Spatial Analyst工具,Spatial Analyst Tools,距离分析,Distance,欧式距离,Euclidean Distance,,,,
Spatial Analyst工具,Spatial Analyst Tools,距离分析,Distance,路径距离,Path Distance,,,,
Spatial Analyst工具,Spatial Analyst Tools,距离分析,Distance,路径距离分配,Path Distance Allocation,,,,
Spatial Analyst工具,Spatial Analyst Tools,距离分析,Distance,路径距离回溯链接,Path Distance Back Link,,,,
Spatial Analyst工具,Spatial Analyst Tools,邻域分析,Neighborhood,块统计,Block Statistics,,,,
Spatial Analyst工具,Spatial Analyst Tools,邻域分析,Neighborhood,滤波器,Filter,,,,
Spatial Analyst工具,Spatial Analyst Tools,邻域分析,Neighborhood,点统计,Point Statistics,,,,
Spatial Analyst工具,Spatial Analyst Tools,邻域分析,Neighborhood,焦点流,Focal Flow,,,,
Spatial Analyst工具,Spatial Analyst Tools,邻域分析,Neighborhood,焦点流统计,Focal Statistics,,,,
Spatial Analyst工具,Spatial Analyst Tools,邻域分析,Neighborhood,线统计,Line Statistics,,,,
Spatial Analyst工具,Spatial Analyst Tools,重分类,Reclass,使用ASCII文件重分类,Reclass by ASCII File,,,,
Spatial Analyst工具,Spatial Analyst Tools,重分类,Reclass,使用表重分类,Reclass by Table,,,,
Spatial Analyst工具,Spatial Analyst Tools,重分类,Reclass,分割,Slice,,,,
Spatial Analyst工具,Spatial Analyst Tools,重分类,Reclass,按函数重设比例,Rescale by Function,,,,
Spatial Analyst工具,Spatial Analyst Tools,重分类,Reclass,查找表,Lookup,,,,
Spatial Analyst工具,Spatial Analyst Tools,重分类,Reclass,重分类,Reclassify,,,,
Tracking Analyst工具,Tracking Analyst Tools,创建追踪图层,Make Tracking Layer,,,,,,
Tracking Analyst工具,Tracking Analyst Tools,线追踪间隔,Track Intervals To Line,,,,,,
Tracking Analyst工具,Tracking Analyst Tools,要素追踪间隔,Track Intervals To Feature,,,,,,
Tracking Analyst工具,Tracking Analyst Tools,连接日期和时间字段,Concatenate Date And Time Fields,,,,,,
编辑工具,Editing Tools,合并,Conflation,传递属性,Transfer Attributes,,,,
编辑工具,Editing Tools,合并,Conflation,橡皮页变换要素,Rubbersheet Features,,,,
编辑工具,Editing Tools,合并,Conflation,生成橡皮页变换链接,Generate Rubbersheet Links,,,,
编辑工具,Editing Tools,合并,Conflation,生成边匹配链接,Generate Edgematch Links,,,,
编辑工具,Editing Tools,合并,Conflation,边匹配要素,Edgematch Features,,,,
编辑工具,Editing Tools,修剪线,Trim Line,,,,,,
编辑工具,Editing Tools,增密,Densify,,,,,,
编辑工具,Editing Tools,延伸线,Extend Line,,,,,,
编辑工具,Editing Tools,捕捉,Snap,,,,,,
编辑工具,Editing Tools,擦除点,Erase Point,,,,,,
编辑工具,Editing Tools,概化,Generalize,,,,,,
编辑工具,Editing Tools,翻转线,Flip Line,,,,,,
地理编码工具,Geocoding Tools,创建地址定位器,Create Address Locator,,,,,,
地理编码工具,Geocoding Tools,创建复合地址定位器,Create Composite Address Locator,,,,,,
地理编码工具,Geocoding Tools,反向地理编码,Reverse Geocode,,,,,,
地理编码工具,Geocoding Tools,对地址进行地理编码,Geocode Addresses,,,,,,
地理编码工具,Geocoding Tools,标准化地址,Standardize Addresses,,,,,,
地理编码工具,Geocoding Tools,重新匹配地址,Rematch Addresses,,,,,,
地理编码工具,Geocoding Tools,重新构建地址定位器,Rebuild Address Locator,,,,,,
多维工具,Multidimension Tools,创建NetCDF栅格图层,Make NetCDF Raster Layer,,,,,,
多维工具,Multidimension Tools,创建NetCDF表视图,Make NetCDF Table View,,,,,,
多维工具,Multidimension Tools,创建NetCDF要素图层,Make NetCDF Feature Layer,,,,,,
多维工具,Multidimension Tools,按维度选择,Select by Dimension,,,,,,
多维工具,Multidimension Tools,栅格转NetCDF,Raster to NetCDF,,,,,,
多维工具,Multidimension Tools,表格转NetCDF,Table to NetCDF,,,,,,
多维工具,Multidimension Tools,要素转NetCDF,Feature to NetCDF,,,,,,
分析工具,Analysis,叠加分析,Overlay,交集取反,Symmetrical Difference,,,,
分析工具,Analysis,叠加分析,Overlay,擦除,Erase,,,,
分析工具,Analysis,叠加分析,Overlay,更新,Update,,,,
分析工具,Analysis,叠加分析,Overlay,标识,Identity,,,,
分析工具,Analysis,叠加分析,Overlay,相交,Intersect,,,,
分析工具,Analysis,叠加分析,Overlay,空间连接,Spatial Join,,,,
分析工具,Analysis,叠加分析,Overlay,联合,Union,,,,
分析工具,Analysis,提取分析,Extract,分割,Split,,,,
分析工具,Analysis,提取分析,Extract,筛选,Select,,,,
分析工具,Analysis,提取分析,Extract,表筛选,Table Select,,,,
分析工具,Analysis,提取分析,Extract,裁剪,Clip,,,,
分析工具,Analysis,统计分析,Statistics,交集制表,Tabulate Intersection,,,,
分析工具,Analysis,统计分析,Statistics,汇总统计数据,Summary Statistics,,,,
分析工具,Analysis,统计分析,Statistics,频数,Frequency,,,,
分析工具,Analysis,邻域分析,Proximity,创建泰森多边形,Create Thiessen Polygons,,,,
分析工具,Analysis,邻域分析,Proximity,多环缓冲区,Multiple Ring Buffer,,,,
分析工具,Analysis,邻域分析,Proximity,点距离,Point Distance,,,,
分析工具,Analysis,邻域分析,Proximity,生成近邻表,Generate Near Table,,,,
分析工具,Analysis,邻域分析,Proximity,缓冲区,Buffer,,,,
分析工具,Analysis,邻域分析,Proximity,近邻分析,Near,,,,
分析工具,Analysis,邻域分析,Proximity,面邻域,Polygon Neighbors,,,,
服务器工具,Server Tools,发布,Publishing,MXD转Web地图,MXD to Web map,,,,
服务器工具,Server Tools,发布,Publishing,上传服务定义,Upload Service Definition,,,,
服务器工具,Server Tools,发布,Publishing,登出门户,Sign Out From Portal,,,,
服务器工具,Server Tools,发布,Publishing,登录门户,Sign In To Portal,,,,
服务器工具,Server Tools,发布,Publishing,过渡服务,Stage Service,,,,
服务器工具,Server Tools,打印,Printing,导出Web地图,Export Web Map,,,,
服务器工具,Server Tools,数据提取,Data Extraction,发送电子邮件(附Zip文件),Send Email With Zip File Attachment,,,,
服务器工具,Server Tools,数据提取,Data Extraction,提取数据,Extract Data,,,,
服务器工具,Server Tools,数据提取,Data Extraction,提取数据任务,Extract Data Task,,,,
服务器工具,Server Tools,数据提取,Data Extraction,提取数据并通过电子邮件发送任务,Extract Data and Email Task,,,,
服务器工具,Server Tools,缓存,Caching,创建地图服务器缓存,Create Map Server Cache,,,,
服务器工具,Server Tools,缓存,Caching,删除Globe服务器缓存,Delete Globe Server Cache,,,,
服务器工具,Server Tools,缓存,Caching,删除地图服务器缓存,Delete Map Server Cache,,,,
服务器工具,Server Tools,缓存,Caching,升级地图服务器缓存存储格式,Upgrade Map Server Cache Storage Format,,,,
服务器工具,Server Tools,缓存,Caching,导入地图服务器缓存,Import Map Server Cache,,,,
服务器工具,Server Tools,缓存,Caching,导出地图服务器缓存,Export Map Server Cache,,,,
服务器工具,Server Tools,缓存,Caching,生成地图服务器缓存切片方案,Generate Map Server Cache Tiling Scheme,,,,
服务器工具,Server Tools,缓存,Caching,管理Globe服务器缓存切片,Manage Globe Server Cache Tiles,,,,
服务器工具,Server Tools,缓存,Caching,管理地图服务器缓存切片,Manage Map Server Cache Tiles,,,,
服务器工具,Server Tools,缓存,Caching,管理地图服务器缓存比例,Manage Map Server Cache Scales,,,,
服务器工具,Server Tools,缓存,Caching,管理地图服务器缓存状态,Manage Map Server Cache Status,,,,
服务器工具,Server Tools,缓存,Caching,转换地图服务器缓存存储格式,Convert Map Server Cache Storage Format,,,,
空间时间模式挖掘工具,Space Time Pattern Mining Tools,创建空间时间立方体,Create Space Time Cube,,,,,,
空间时间模式挖掘工具,Space Time Pattern Mining Tools,形成热点分析,Emerging Hot Spot Analysis,,,,,,
空间统计工具,Spatial Statistics Tools,分析模式,Analyzing Patterns,增量空间自相关,Incremental Spatial Autocorrelation,,,,
空间统计工具,Spatial Statistics Tools,分析模式,Analyzing Patterns,多距离空间聚类分析(Ripleys K函数),Multi-Distance Spatial Cluster Analysis(Ripleys K Function),,,,
空间统计工具,Spatial Statistics Tools,分析模式,Analyzing Patterns,平均最近邻,Average Nearest Neighbor,,,,
空间统计工具,Spatial Statistics Tools,分析模式,Analyzing Patterns,空间自相关(Moran I),Spatial Autocorrelation(Morans I),,,,
空间统计工具,Spatial Statistics Tools,分析模式,Analyzing Patterns,高/低聚类(Getis-Ord General G),High/Low Clustering(Getis-Ord General G),,,,
空间统计工具,Spatial Statistics Tools,工具,Utilities,将空间权重矩阵转换为表,Convert Spatial Weights Matrix to Table,,,,
空间统计工具,Spatial Statistics Tools,工具,Utilities,将要素属性导出到ASCII,Export Feature Attribute to ASCII,,,,
空间统计工具,Spatial Statistics Tools,工具,Utilities,收集事件,Collect Events,,,,
空间统计工具,Spatial Statistics Tools,工具,Utilities,计算近邻点距离,Calculate Distance Band from Neighbor Count,,,,
空间统计工具,Spatial Statistics Tools,工具,Utilities,计算面积,Calculate Areas,,,,
空间统计工具,Spatial Statistics Tools,度量地理分布,Measuring Geographic Distributions,中位数中心,Median Center,,,,
空间统计工具,Spatial Statistics Tools,度量地理分布,Measuring Geographic Distributions,中心要素,Central Feature,,,,
空间统计工具,Spatial Statistics Tools,度量地理分布,Measuring Geographic Distributions,平均中心,Mean Center,,,,
空间统计工具,Spatial Statistics Tools,度量地理分布,Measuring Geographic Distributions,方向分布(标准差椭圆),Directional Distribution(Standard Deviational Ellipse),,,,
空间统计工具,Spatial Statistics Tools,度量地理分布,Measuring Geographic Distributions,标准距离,Standard Distance,,,,
空间统计工具,Spatial Statistics Tools,度量地理分布,Measuring Geographic Distributions,线性方向平均值,Linear Directional Mean,,,,
空间统计工具,Spatial Statistics Tools,渲染,Rendering,Z得分渲染,Z Score Rendering,,,,
空间统计工具,Spatial Statistics Tools,渲染,Rendering,带渲染的热点分析,Hot Spot Analysis with Rendering,,,,
空间统计工具,Spatial Statistics Tools,渲染,Rendering,带渲染的聚类/异常值分析,Cluster/Outlier Analysis with Rendering,,,,
空间统计工具,Spatial Statistics Tools,渲染,Rendering,收集事件并渲染,Collect Events with Rendering,,,,
空间统计工具,Spatial Statistics Tools,渲染,Rendering,计数渲染,Count Rendering,,,,
空间统计工具,Spatial Statistics Tools,空间关系建模,Modeling Spatial Relationships,地理加权回归,Geographically Weighted Regression,,,,
空间统计工具,Spatial Statistics Tools,空间关系建模,Modeling Spatial Relationships,探索性回归,Exploratory Regression,,,,
空间统计工具,Spatial Statistics Tools,空间关系建模,Modeling Spatial Relationships,普通最小二乘法,Ordinary Least Squares,,,,
空间统计工具,Spatial Statistics Tools,空间关系建模,Modeling Spatial Relationships,生成空间权重矩阵,Generate Spatial Weights Matrix,,,,
空间统计工具,Spatial Statistics Tools,空间关系建模,Modeling Spatial Relationships,生成网络空间权重,Generate Network Spatial Weights,,,,
空间统计工具,Spatial Statistics Tools,聚类分布制图,Mapping Clusters,优化的热点分析,Optimized Hot Spot Analysis,,,,
空间统计工具,Spatial Statistics Tools,聚类分布制图,Mapping Clusters,分组分析,Grouping Analysis,,,,
空间统计工具,Spatial Statistics Tools,聚类分布制图,Mapping Clusters,热点分析(Getis-Ord GI*),Hot Spot Analysis (Getis-Ord Gi*),,,,
空间统计工具,Spatial Statistics Tools,聚类分布制图,Mapping Clusters,相似搜索,Similarity Search,,,,
空间统计工具,Spatial Statistics Tools,聚类分布制图,Mapping Clusters,聚类和异常值分析(Anselin Local Moran I),Cluster and Outlier Analysis(Anselin Local Morans I),,,,
数据管理工具,Data Management Tools,LAS数据集,LAS Dataset,LAS数据集统计数据,LAS Dataset Statistics,,,,
数据管理工具,Data Management Tools,LAS数据集,LAS Dataset,从LAS数据集中移除文件,Remove Files from LAS Dataset,,,,
数据管理工具,Data Management Tools,LAS数据集,LAS Dataset,创建LAS数据集,Create LAS Dataset,,,,
数据管理工具,Data Management Tools,LAS数据集,LAS Dataset,将文件添加到LAS数据集,Add Files to LAS Dataset,,,,
数据管理工具,Data Management Tools,LAS数据集,LAS Dataset,用作栅格数据的LAS点统计,LAS Point Statistics as Raster,,,,
数据管理工具,Data Management Tools,关系类,Relationship Classes,创建关系类,Create Relationship Class,,,,
数据管理工具,Data Management Tools,关系类,Relationship Classes,表转关系类,Table To Relationship Class,,,,
数据管理工具,Data Management Tools,关系类,Relationship Classes,迁移关系类,Migrate Relationship Class,,,,
数据管理工具,Data Management Tools,几何网络,Geometric Network,从几何网络删除空要素类,Remove Empty Feature Class From Geometric Network,,,,
数据管理工具,Data Management Tools,几何网络,Geometric Network,从几何网络移除连通性规则,Remove Connectivity Rule From Geometric Network,,,,
数据管理工具,Data Management Tools,几何网络,Geometric Network,创建几何网络,Create Geometric Network,,,,
数据管理工具,Data Management Tools,几何网络,Geometric Network,向几何网络添加边-交点连通性规则,Add Edge-Junction Connectivity Rule To Geometric Network,,,,
数据管理工具,Data Management Tools,几何网络,Geometric Network,向几何网络添加边-边连通性规则,Add Edge-Edge Connectivity Rule To Geometric Network,,,,
数据管理工具,Data Management Tools,几何网络,Geometric Network,在几何网络中查找断开连接的要素,Find Disconnected Features in Geometric Network,,,,
数据管理工具,Data Management Tools,几何网络,Geometric Network,设置流向,Set Flow Direction,,,,
数据管理工具,Data Management Tools,几何网络,Geometric Network,追踪几何网络,Trace Geometric Network,,,,
数据管理工具,Data Management Tools,几何网络,Geometric Network,重新构建几何网络,Rebuild Geometric Network,,,,
数据管理工具,Data Management Tools,几何网络,Geometric Network,验证和修复几何网络连通性,Verify And Repair Geometric Network Connectivity,,,,
数据管理工具,Data Management Tools,分布式地理数据库,Distributed Geodatabase,从服务器创建复本,Create Replica From Server,,,,
数据管理工具,Data Management Tools,分布式地理数据库,Distributed Geodatabase,创建复本,Create Relplica,,,,
数据管理工具,Data Management Tools,分布式地理数据库,Distributed Geodatabase,创建复本轮廓线,Create Replica Footprints,,,,
数据管理工具,Data Management Tools,分布式地理数据库,Distributed Geodatabase,同步数据变化,Synchronize Changes,,,,
数据管理工具,Data Management Tools,分布式地理数据库,Distributed Geodatabase,导入XML工作空间文档,Import XML Workspace Document,,,,
数据管理工具,Data Management Tools,分布式地理数据库,Distributed Geodatabase,导入复本方案,Import Replica Schema,,,,
数据管理工具,Data Management Tools,分布式地理数据库,Distributed Geodatabase,导入消息,Import Message,,,,
数据管理工具,Data Management Tools,分布式地理数据库,Distributed Geodatabase,导出XML工作空间文档,Export XML Workspace Document,,,,
数据管理工具,Data Management Tools,分布式地理数据库,Distributed Geodatabase,导出复本方案,Export Replica Schema,,,,
数据管理工具,Data Management Tools,分布式地理数据库,Distributed Geodatabase,导出数据变更消息,Export Data Change Message,,,,
数据管理工具,Data Management Tools,分布式地理数据库,Distributed Geodatabase,导出确认消息,Export Acknowledgement Message,,,,
数据管理工具,Data Management Tools,分布式地理数据库,Distributed Geodatabase,比较复本方案,Compare Replica Schema,,,,
数据管理工具,Data Management Tools,分布式地理数据库,Distributed Geodatabase,添加全局ID,Add Global IDs,,,,
数据管理工具,Data Management Tools,分布式地理数据库,Distributed Geodatabase,重新导出未确认的消息,Re-Export Unacknowledged Messages,,,,
数据管理工具,Data Management Tools,切片缓存,Tile Cache,导入切片缓存,Import Tile Cache,,,,
数据管理工具,Data Management Tools,切片缓存,Tile Cache,导出切片缓存,Export Tile Cache,,,,
数据管理工具,Data Management Tools,切片缓存,Tile Cache,生成切片缓存切片方案,Generate Tile Cache Tiling Scheme,,,,
数据管理工具,Data Management Tools,切片缓存,Tile Cache,管理切片缓存,Manage Tile Cache,,,,
数据管理工具,Data Management Tools,制图综合,Generalization,消除,Eliminate,,,,
数据管理工具,Data Management Tools,制图综合,Generalization,消除面部件,Eliminate Polygon Part,,,,
数据管理工具,Data Management Tools,制图综合,Generalization,融合,Dissolve,,,,
数据管理工具,Data Management Tools,包,Package,创建运行时内容,Create Runtime Content,,,,
数据管理工具,Data Management Tools,图层和表视图,Layers and Table Views,保存至图层文件,Save To Layer File,,,,
数据管理工具,Data Management Tools,图层和表视图,Layers and Table Views,创建LAS数据集图层,Make LAS Dataset Layer,,,,
数据管理工具,Data Management Tools,图层和表视图,Layers and Table Views,创建WCS图层,Make WCS Layer,,,,
数据管理工具,Data Management Tools,图层和表视图,Layers and Table Views,创建XY事件图层,Make XY Event Layer,,,,
数据管理工具,Data Management Tools,图层和表视图,Layers and Table Views,创建影像服务器图层,Make Image Server Layer,,,,
数据管理工具,Data Management Tools,图层和表视图,Layers and Table Views,创建查询图层,Make Query Layer,,,,
数据管理工具,Data Management Tools,图层和表视图,Layers and Table Views,创建查询表,Make Query Table,,,,
数据管理工具,Data Management Tools,图层和表视图,Layers and Table Views,创建栅格图层,Make Raster Layer,,,,
数据管理工具,Data Management Tools,图层和表视图,Layers and Table Views,创建栅格目录图层,Make Raster Catalog Layer,,,,
数据管理工具,Data Management Tools,图层和表视图,Layers and Table Views,创建表视图,Make Table View,,,,
数据管理工具,Data Management Tools,图层和表视图,Layers and Table Views,创建要素图层,Make Feature Layer,,,,
数据管理工具,Data Management Tools,图层和表视图,Layers and Table Views,创建镶嵌图层,Make Mosaic Layer,,,,
数据管理工具,Data Management Tools,图层和表视图,Layers and Table Views,应用图层的符号设置,Apply Symbology From Layer,,,,
数据管理工具,Data Management Tools,图层和表视图,Layers and Table Views,按位置选择图层,Select Layer By Location,,,,
数据管理工具,Data Management Tools,图层和表视图,Layers and Table Views,按属性选择图层,Select Layer By Attribute,,,,
数据管理工具,Data Management Tools,图表,Graph,保存图表,Save Graph,,,,
数据管理工具,Data Management Tools,图表,Graph,生成图表,Make Graph,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,修复版本元数据,Repair Version Metadata,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,修复版本表,Repair Version Tables,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,分析数据集,Analyze Datasets,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,创建企业级地理数据库,Create Enterprise Geodatabase,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,创建数据库用户,Create Database User,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,创建栅格类型,Create Raster Type,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,创建角色,Create Role,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,删除方案地理数据库,Delete Schema Geodatabase,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,升级地理数据库,Upgrade Geodatabase,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,升级数据集,Upgrade Dataset,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,升级空间参考,Upgrade Spatial Reference,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,启用企业级地理数据库,Enable Enterprise Geodatabase,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,导入地理数据库配置关键字,Import Geodatabase Configuration Keywords,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,导出地理数据库配置关键字,Export Geodatabase Configuration Keywords,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,更改权限,Change Privileges,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,注册到地理数据库,Register with Geodatabase,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,版本压缩,Compress,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,诊断版本元数据,Diagnose Version Metadata,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,诊断版本表,Diagnose Version Tables,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,迁移存储,Migrate Storage,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,配置地理数据库日志文件表,Configure Geodatabase Log File Tables,,,,
数据管理工具,Data Management Tools,地理数据库管理,Geodatabase Administration,重建索引,Rebuild Indexes,,,,
数据管理工具,Data Management Tools,子类型,Subtypes,添加子类型,Add Subtype,,,,
数据管理工具,Data Management Tools,子类型,Subtypes,移除子类型,Remove Subtype,,,,
数据管理工具,Data Management Tools,子类型,Subtypes,设置子类型字段,Set Subtype Field,,,,
数据管理工具,Data Management Tools,子类型,Subtypes,设置默认子类型,Set Default Subtype,,,,
数据管理工具,Data Management Tools,字段,Fields,为字段分配默认值,Assign Default To Field,,,,
数据管理工具,Data Management Tools,字段,Fields,删除字段,Delete Field,,,,
数据管理工具,Data Management Tools,字段,Fields,启用编辑者跟踪,Enable Editor Tracking,,,,
数据管理工具,Data Management Tools,字段,Fields,更改字段,Alter Field,,,,
数据管理工具,Data Management Tools,字段,Fields,添加字段,Add Field,,,,
数据管理工具,Data Management Tools,字段,Fields,添加递增ID字段,Add Incrementing ID Field,,,,
数据管理工具,Data Management Tools,字段,Fields,禁用编辑者追踪,Disable Editor Tracking,,,,
数据管理工具,Data Management Tools,字段,Fields,计算字段,Calculate Field,,,,
数据管理工具,Data Management Tools,字段,Fields,计算结束时间,Calculate End Time,,,,
数据管理工具,Data Management Tools,字段,Fields,转换时区,Convert Time Zone,,,,
